tecnica_norm,n_fichas,n_mujeres,n_hombres,edad_prom,estados,ceremonia_principal,ceremonias_resumen,prenda_principal,prendas_resumen,n_aprendio_madre,n_aprendio_abuela,n_aprendio_tia,n_aprendio_hermana,n_aprendio_cunada,n_aprendio_instructor,n_aprendio_otro,n_aprendio_padre,n_no_ha_ensenado,n_ens_hijas,n_ens_nietos,n_ens_sobrinos,n_ens_pareja,n_ens_estudiantes,n_ens_otra,n_ens_hijos,n_man_mano,n_man_pedal,n_man_telar,n_man_mixta,n_man_otra,n_tenido_plantas,n_tenido_minerales,n_tenido_animales,n_tenido_otro
Pepenado,13,9,4,49,"Hidalgo, México, Oaxaca, Puebla, Tlaxcala",Vestido,"Vestido (2); Atetes (1); Bautizos (1); Blusa (1); Boda (1); Bodas (1); Bodas en la sociales es la vestimenta de gala (1); Camisa (1); Concursos de arte popular (1); Desfiles (1); En 15 años (1); En bodas (1); En eventos de costumbre (1); En eventos de graduación (1); En eventos políticos (1); En eventos religiosos (1); En las fiestas patronales, eventos culturales, días de fiesta y como prenda del diario (1); En las fiestas patronales, eventos culturales, días de fiesta y del diario (1); En las fiestas patronales,eventos culturales, días de fiesta y del diario (1); En todos los espacios de la vida (1); Escuelas (1); Eventos culturales (1); Eventos especiales en las comunidades (1); Eventos religiosos (1); Eventos tradicionales (1); Festividades de la comunidad (1); Fiesta patronales (1); Fiestas patronales (1); Fiestas tradicionales (1); Mayordomia (1); Mayordomias (1); Mayordomía (1); Portacelular (1); Prenda de boda. (1); Primeras comuniones (1); Rebozo (1); Religion (1); Religiosos (1); Vestimenta (1)",Camisas,"Camisas (5); Blusas (4); Rebozos (4); Caminos de mesa (3); Morrales (3); Aretes (2); Capas (2); Vestidos (2); Accesorios: bolsas, pulseras, monederos, etc (1); Arte utilitario y decoración: cobijes, caminos y cuatros (1); Blancos: sábanas y enrredones, fundas para almohadas etc (1); Blusa en bata de manga larga con dos pechos ( tiras) (1); Blusa para las bodas tradicionales, (1); Blusa tradicional de manga corta (1); Blusa tradicional en bata manga larga con un solo pecho (1); Blusas de laboratorio tradicionales (1); Bolsas (1); Bolsitas (1); Camisa de uso interior con tejido de randa(blusa) (1); Carpetas (1); Chalecos (1); Chales, (1); Coyocoton (1); Cuadro para enmarcar (1); Cuadros (1); En Mrrales (1); En bisutería (1); En caminos de mesa (1); En chalecos (1); En cuadros de colección (1); En la enagua que Esparte de nuestro atuendo (1); En rebozos (1); En servilletas que se utilizan en las festividades patronales (1); Eventos religiosos (1); Fajas o señidor (1); Faldas (1); Guayaberas para las bodas (1); Huipil (1); Huipiles (1); Indumentaria cotidiana o en eventos especiales (1); La técnica se vasa para crear un traje típico que se usa como prenda del diario entre mujeres, (1); Monederos (1); Ponchos (1); Pulceras (1); Pulseras (1); Quechquemit (1); Rebosos (1); Ropa confeccionada en diferentes espacios (1); Se estiliza esta técnica en vestidos, blusas, sacos, guayaberas estos para comercializar siendo más moderno estás técnicas (1); Separadores de libros (1); Servilletas (1); Sombreros (1); Tomicotones (1); Tortilleros (1); Traje típico de la region (1); Uniformes que se están implementando en las escuelas (1)",8,2,1,0,0,0,2,3,1,5,0,2,1,2,7,1,11,0,3,0,0,5,1,2,0
Pepenado en pliegue,2,2,0,43,Tlaxcala,Cívico,Cívico (1); En mayordomias (1); Fiestas patronales (1); Social (1); Traje ceremonial (1); Uso diario (1),Bestidos,Bestidos (1); Blusas (1); Camisa de caballero (1); Camisas de guarda para dama (1); Cojines decorativos (1); Cortinas (1); Diademas (1); Fundas para laptops (1); Gorras (1); Manteles (1); Monederos (1); Trajes de niño dios (1),1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0
Petatillo,2,2,0,45,"Chiapas, Morelos",Cortar la lana sin dañar al borrego,Cortar la lana sin dañar al borrego (1); Fiesta del pueblo. (1),"En el vestido tradicional del estado, en especial en la fiesta de enero en el municipio de chiapa de corzo.","En el vestido tradicional del estado, en especial en la fiesta de enero en el municipio de chiapa de corzo. (1); Eventos especiales para representar el estado. (1); Gabanes (1); Rebozo (1); Utilitario (1)",1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
Pete,1,1,0,67,Chiapas,Festividades patronales,Festividades patronales (1),Blusas,Blusas (1); Camisas (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Petet,1,1,0,67,Chiapas,Fiestas patronales,Fiestas patronales (1),Blusas,Blusas (1); Camisas (1); Robozos (1),1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Pima (nevome),1,1,0,46,Chihuahua,Grupos de danza,Grupos de danza (1); Yumare (1),Blusas,Blusas (1); Bufandas (1); Pantalón (1); Rebozos (1); Vestidos (1),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pinitos,1,1,0,71,Oaxaca,Día de la Virgen,Día de la Virgen (1),Blusas,Blusas (1); Huipiles (1),0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Piquitos,1,1,0,45,Chiapas,NA,NA,Blusas,Blusas (1); Camisas (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Piteado,1,1,0,50,Aguascalientes,Charreadas,Charreadas (1); Ferias (1); Jaripeos (1); Uso diario (1); bodas (1); eventos campiranos (1); fiestas patronales (1); para salir a pasear (1),Aretes,"Aretes (1); Bolsas (1); Carteras, cuadros, etc (1); Cinturones (1); Collares (1); Diademas (1); Monturas (1); Pulseras (1); broches (1); ribetes de sombreros charros (1)",1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Plisada,1,0,0,41,Guerrero,Uso diario,Uso diario (1),Muñecas,Muñecas (1); Traje tradicional (1),1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"Polkan, baak kaan, puuch kaan",1,1,0,46,Quintana Roo,Ceremonia mayas,Ceremonia mayas (1); Ceremonia religiosa (1); Cultural (1),Blusas,Blusas (1); Camisa (1); Terno (1); Vestido (1),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Prendas tradicional,1,1,0,38,Chihuahua,Evento en Chihuahua,Evento en Chihuahua (1); Evento original ciudad de México (1),Blusas,Blusas (1); Bolsas (1); Diadema (1); Estambre (1); Llaveros (1); Vestidos (1); Wuarrs o canastas (1),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Puntada antigua,1,1,0,52,Puebla,Escuelas,Escuelas (1); Mayordomias (1); Primeras comuniones (1),Caminos de mesa,"Caminos de mesa (1); Chalecos (1); Chales, (1); Huipiles (1); Morrales (1); Tomicotones (1)",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Puntada corrida,1,0,1,59,Tlaxcala,Cuando sea necesario,Cuando sea necesario (1),Corridos,Corridos (1); Gabanes (1); Sarapes (1),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Puntada de red,1,1,0,37,Yucatán,Ceremonia culturales,Ceremonia culturales (1); Ceremonia religiosa (1); Ceremonia tradicional (1); Pasarelas (1),Almohadas,Almohadas (1); Aretes (1); Blusas (1); Estandartes/ cuadros (1); Huipiles (1); Pañales (1); Servilletas (1); Sábanas y sobrecamas (1); Ternos  etc (1); Vestidos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Puntada de rescate u hoja de platano,1,1,0,61,Campeche,Campechanidad,Campechanidad (1); Eventos (1); Eventos politicos (1),Batas tipo vestido,Batas tipo vestido (1); Blusas tipo hipil (1); Vestidos (1),1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Puntada de satín,3,0,3,30,Oaxaca,Bodas,"Bodas (1); Camisas (1); Entierros funebres y bodas (1); Funerales (1); Huipiles de listón (1); Mayordomias (1); Mayordomía, tititlatos,  calendario y fiesta patronal (1); Velas (1)",Camisas,Camisas (2); Blusas (1); Caminos de mesa (1); Enaguas (1); Fundas de almohada (1); Hilos (1); Huipiles (1); Huipiles cortos (1); Huipiles de listón (1); Pañuelos (1); Rebozos (1); Servilletas (1); Vestido (1),2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,1,0,0,0
Puntada frontal,1,1,0,52,Puebla,Escuelas,Escuelas (1); Mayordomias (1); Primeras comuniones (1),Caminos de mesa,"Caminos de mesa (1); Chalecos (1); Chales, (1); Huipiles (1); Morrales (1); Tomicotones (1)",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Puntada lineal continua,1,1,0,59,Oaxaca,Eventos especiales,Eventos especiales (1); Fiestas tradicionales de la región (1),Blusas estilizadas,Blusas estilizadas (1); Blusas tradicionales (1); Camisas tradicionales de manta (1); Guaysberas (1); Ropa infantil (1); Vestidos estilizados (1); Vestidos tradicionales (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punto atrás,3,2,1,47,Oaxaca,Bautizo,"Bautizo (1); Bodas (1); El uso o de la enagua es en el día a día, solo cambia su uso dependiendo del huipil y el evento (1); Para eventos religiosos (1); Se usa en el día a día, ya que son las mas tradicionales y se adaptan a nuestras actividades cotidianas (1); Se usa en eventos importantes con bodas, bautizos, cumpleaños. (1); Son piezas de innovación en para el día a día (1); Son piezas de innovación para el día a día (1); XV años (1); Y sociales (1)",Camisas,Camisas (1); Enagua (1); Enaguas antiguas y recientes (1); Huipil (1); Huipil y blusas vestdos (1); Huipiles Ceremoniales o de Gala (1); Huipiles cortos de uso diario (1); Pantalones (1); Ropaje de bautizo (1); Vestido de novia (1),1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0
Punto confite,1,1,0,35,Puebla,Dia de muertos para adornar el altar,Dia de muertos para adornar el altar (1); Dia de siembra para llevar las tortillas. (Hoy dia muy poco) (1),Los huipiles conocidos como tapun,Los huipiles conocidos como tapun (1); Los rebozos llamados pam'lin (1); Servilletas llamadas pum'lin (1); Y el tapun pequeño que va en la cabeza para cubrirse del sol (1),1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Punto de cruz,89,75,13,45,"Campeche, Chiapas, Chihuahua, Colima, Durango, Guerrero, Jalisco, México, Michoacán De Ocampo, Morelos, Oaxaca, Puebla, Querétaro, Quintana Roo, Tamaulipas, Veracruz De Ignacio De La Llave, Yucatán",Bodas,"Bodas (18); Bautizo (11); Boda (5); Fiestas patronales (5); Bautizos (4); Primera comunión (4); Vaquerias (4); Bodas civiles (3); XV años (3); Confirmaciones (2); Eventos especiales (2); Falda (2); Fiesta del elote (2); Fiestas del pueblo (2); Fiestas tradicionales (2); Gremios (2); Hanal pixan (2); Primeras comuniones (2); Arpus (1); Asak de tom (1); Baile al Santo patrono de pueblo que es el Señor de los Milagros cada día 14 de cada mes (1); Baitizos (1); Batas campechenos (1); Blusa (1); Blusas antiguas con diseños de nuestros antepasados (1); Blusas de diario (1); Blusas,en fiestas del pueblo o evento especiales (1); Bluzas uniforme (1); Bodas  , (1); Bodas y ferias tradicionales  jaranas (1); Bodas, bautizos y mayodormías religiosas (1); Bodas. (1); Bolsa (1); Bolsas ,del día a dia (1); Bolsas para salir (1); Caminos (1); Camisas o guallaberas en fiestas o eventos especiales o sociales (1); Camisón (1); Clausuras (1); Compadrazgo (1); Comuniones (1); Comunión (1); Confirmacion (1); Confirmación (1); Copia de greca (1); Corpus (1); Costumbre xiota (1); Culturales (1); Cumpleaños (1); DIARIO (1); Danzas tradicionales (1); Del diario (1); Desfiles Artesanal (1); Dia de la campechanidad (1); Día de la lengua materna (1); Día de muertos (1); Día de todos santos (1); El otro en fiestas como bodas y recibimiento de presidentes (fiestas importantes) (1); En 15 años (1); En bodas (1); En bodas  15 años bautizos gremios y fiestas patronales (1); En bodas religiosas las mujeres se visten con el traje tradicional al llegar al salón de fiestas para que se le haga la entrega de un listón de color por parte de las primas (1); En bodas, bautizos, vaquerias (1); En bodas, en bautizos y en fiestas patronales (1); En ceremonias religiosas y eventos tradicionales (1); En eventos políticos (1); En eventos religiosos, gobernantes, boda (1); En fiesta tradicional (1); En la fiesta religiosa y la fiesta patronal, cuando van las autoridades (1); En las fiestas para envolver las tortillas (1); En trajes tradicionales para la mayordomía de la localidad (1); Entierro (1); Es de uso diario (1); Es un atuendo ceremonial que se usa del 1 al 12 de diciembre. En honor a la virgen de Guadalupe. Esto es en peregrinación y misas. (1); Es un jorongo que se rescató gracias a lo que he aprendido en original. Es un atuendo ceremonial que usaban las mujeres para casarse con bordados en en punto de cruz y con n Galdino con tejido de gancho. Lo ancho del ruedo o el tejido de abajo del faldón dependía del cariño o aceptación que tenía la suegra hacía la novia. (1); Es una innovación del ajuar guadalupano pues el ajuar tiene tres piezas y el huipil solo dos y es para utilizarlo del 1 al 12 de diciembre. (1); Escuela (1); Escuelas (1); Evento especiales (1); Evento sociales (1); Eventos culturales (1); Eventos de gala (1); Eventos patronales. (1); Eventos sociales (1); Faja (1); Festividades patronales (1); Fiesta patronales (1); Fiesta tradicional (1); Fiestas (1); Fiestas  patronales (1); Fiestas ,tradicionales,eventos  políticos (1); Fiestas ceremoniales (1); Fiestas culturales (tambor, maíz, ceniza, semana santa,cambio de varas (1); Fiestas religiosas, (1); Fietas del pueblo, bodas bautizos, corpus Cristi (1); Filipinas (1); Gabanes (1); Graduaciones (1); Graduaciónes (1); Guayaberas para eventos (1); Hanal pixa'an (1); Hetz meek' (1); Hipil (1); Hipiles yucatan diaro (1); Huipil (1); Huipil de gala (1); Huipil de gala o batas (1); Huipiles (1); Huipiles Natividad de la Virgen María (1); Jarana (1); Jets'mek' (1); Jets'méek' (1); Las fajas (1); Las niñas y niños en la celebración del nacimiento del niño Dios (1); Lo más utilizado es el huipil para mujer y el de hombre (1); Los cargueros en cada celebración de las imágenes religiosas que tienen a su cargo. (1); Manteles (1); Mayordomias (1); Mayordomía (1); Misas (1); Monedero (1); Nacimiento (1); Paliacate (1); Para celebraciones tradicionales de los barrios (1); Para el mes de octubre mes de la campechanidad (1); Para eventos de la iglesia  como danza de la pastora (1); Para jarana (1); Para las almuadas en las casas (1); Para toda acción ya que las blusas se usan de unos diario en el pueblo (1); Pasarelas (1); Perdón “entrega de novias “ (1); Peregrinaciones (1); Presentaciones (1); Primera comunion (1); Punto de cruz puntada tres hilos y hazme si puedes fino, para fandangos o para regalos especiales, (1); Punto de cruz y hazme si puedes, puntada sencilla, como ropa interior o diario. (1); Punto de cruz, en la Guelaguetza (1); Quince años (1); Rebozos (1); Religiosa (1); Rituales del altar maya (1); Rituales tradicionales de mi comunidad Uruapan Michoacán (1); Se elaboran en punto de cruz o bordado con iconografía creada con elementos de la comunidad. (1); Se utiliza como una prenda del diario. (1); Semana santa (1); Seremonias (1); Señidor (1); Terno vaquerías y bodas (1); Todos santos, huipiles de gala, de fiesta y el de diario. (1); Tortilleros para tortillas (1); Traje de gala para eventos especiales (1); Traje tico (1); Traje típico (1); Trajes de niños (1); Trajes de noche (1); Uanhanchas (1); Uso diario, y eventos social (1); Uso diarios (1); Usos y costumbres de mi pueblo (1); Vaqueras,eventos publicos (1); Vestimentas (1); Xv años (1); bautizo (1); cuando ase las  rituales custubres (1); diario el de punto de cruz (1)",Blusas,"Blusas (31); Servilletas (20); Manteles (17); Vestidos (17); Bolsas (15); Hipiles (12); Terno (9); Blusa (8); Camisas (8); Huipiles (8); Guayabera (7); Guayaberas (7); Pañales (7); Rebozos (7); Caminos de mesa (6); Huipil (6); Ternos (5); Bolsos (4); Cojines (4); Hipil (4); Morrales (4); Pantalones (4); Vestido (4); Blusas tradicionales (3); Camisa (3); Carteras (3); Falda (3); Faldas (3); Rebosos (3); Batas (2); Bolsa (2); Camino de mesa (2); Camisas de caballero (2); Capas (2); Delantal (2); En blusas (2); En la camisa tradicional (2); En vestido (2); Faja (2); Guallaveras (2); Mandiles (2); Monederos (2); Paliacate (2); Pañal (2); Rebozo (2); Tortilleras (2); blusa (2); Accesorios de bisutería (1); Accesorios varios. (1); Ajuar guadalupano o colimote. Gabán guadalupano (1); Algodón (1); Aretes (1); Arpus (1); Asak de tom (1); BLUSAS (1); Baimkar (1); Balerinas (1); Bata (1); Bata guayaberas (1); Batas campechanas (1); Blusa   de Campeche nidad (1); Blusa  hipil (1); Blusa wanengo (1); Blusaa (1); Blusas campechanas (1); Blusas cortas (1); Blusas hipil (1); Bluson (1); Blusones (1); Bordados para bebé en niños (1); Bufandas (1); CINTOS (1); Caminos  de mesa (1); Caminos de mesa y servilletas (1); Camisa para dama y caballero (1); Camisas calzones tradicionales (1); Camisas de hombres (1); Camisas de manta (1); Camisas guayaveras (1); Camisas y filipinas (1); Camisón (1); Cartera (1); Chalecos (1); Chales (1); Chales, (1); Chalina (1); Chamarras (1); Chanbritas (1); Cintas (1); Cintos (1); Colgantes para bolsas (1); Collar, diadema, pulseras etc (1); Coton (1); Cuadros (1); Cuadros decorativos. (1); Cubrebocas (1); Diademas (1); Diseños personalizados (1); Donchu (1); En Mrrales (1); En bisutería (1); En caminos de mesa (1); En chalecos (1); En cuadros de colección (1); En guanengos tradicional y faja telar de cintura (1); En huipiles (1); En huipiles y camisas (1); En la enagua que Esparte de nuestro atuendo (1); En rebozos (1); En servilletas que se utilizan en las festividades patronales (1); En ternos, huipiles, blusas etc. (1); En trege campechano (1); Enagua (1); Estandartes (1); Estantartes (1); Estolas (1); Faja de cintura (1); Fajas (1); Faldas mandiles (1); Filipina (1); Fundas (1); Fundas para almohadas (1); Gorras (1); Guanengos (1); Guanengos bolsas (1); Guayaberas y camisas (1); Hipilitos para niñas (1); Huanengo (1); Huanengo ( blusas) (1); Huanengos (1); Huipil Gala (1); Huipil bolsas (1); Huipil diario (1); Huipil guadalupano y manto (1); Huipil modelo antiguo (1); Huipil y enagua de gala (1); Huipiles , blusas (1); Huipiles, (1); Jorongo de Zacualpan (1); Joyeria (1); Justames (1); MORRALES (1); Mantel (1); Manteles religiosos (1); Morral (1); Muñecas Lele (1); Naguas (1); Nahuas (1); Paliacates  jaranero (1); Pantalón (1); Para almuadas (1); Pañoletas (1); Pañuelo (1); Pañuelos (1); Pie de cama (1); Playeras (1); Prendedores (1); Quexquemil (1); Quexquemilt (1); Quiskemetl (1); Reboso (1); Reboso , (1); Recuerdos (1); Recuerdos de boda, XV años, bautizo,  jes mek' (1); Ropa de cama (1); Ropa de cama. (1); Sacos (1); Separadores (1); Serbilletas (1); Servilletas manteles (1); Servilleteros (1); Solapas (1); Sudarios (1); Sueter (1); Thomicoton (1); Tira (1); Toallas (1); Tomicotones (1); Top crop (1); Tornicotón (1); Tortilleros (1); Traje completo (1); Traje tradicinales (1); Traje tradicional (1); Traje tradicional de la danza de los viejitos (1); Trajes de hombre y mujer (1); Trajes tradicionales (1); Uso diario (1); VESTIDOS (1); Vestidos de XV años y bodas (1); Vestidos de niña (1); Vestidos largos (1); Vestidos tipo hipil (1); Vestimenta de la muñeca donxü (1); Zapato (1); capas (1); huipil (1); las blusas  tradicionales (1); pantalón (1); ponchos (1); vestidos (1)",65,20,19,1,1,3,2,8,6,48,11,13,14,13,16,11,80,3,11,7,2,16,3,6,9
Purépecha,2,2,0,59,Michoacán De Ocampo,Eventos especial,Eventos especial (1); Fiestas patronales (1); Para bautizos (1); Para embajadas (1); Para la virgen (1); Sacerdote (1); Templo (1); bodas (1); chamarras (1); colchas (1); danza de viejitos (1); delantal (1); día de muertos (1); nacimientos (1); vida de rancho (1),Anillos,Anillos (1); Camisas (1); Cojines (1); Cuadros (1); Dijes (1); Ggetes (1); Portavasos (1); Reboso (1); Vestidos (1); Zapatos (1); anillos (1); blusas (1); chalinas (1); chamsrras (1); cuadros (1); dijes (1); fundas para las almohadas (1); rebososd (1); toallas (1); tortilleros (1),1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Randa de aguja,2,1,1,56,Oaxaca,Calendas (manifestación de fé).,"Calendas (manifestación de fé). (1); Mayordomía , servilletas (1); Mayordomías (1); Segundo día de boda. (1)",Aretes,Aretes (2); Guayaberas (2); Pañuelo (2); Porta vasos (2); Blusas tradicionales (1); Camisa de hombres (1); Camisa de uso interior femenino ( blusas). (1); Camisas (1); Fundas de almohada (1); Orillas de servilletas (1); Sabanas (1); Servilletas (1),0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rayado,1,1,0,46,Yucatán,Cómo obsequio,Cómo obsequio (1); Vaquerías (1),Enmarcados,Enmarcados (1); Prendas regionales de gala (1),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Recorte de cuadros,1,0,1,59,Tlaxcala,Gabanes,Gabanes (1),Corrido,Corrido (1); Gaban (1); Sarape (1),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Rectas,1,1,0,22,Chiapas,Bodas,Bodas (1),Blusas artesanales,Blusas artesanales (1); Blusas tradicionales (1); Faldas (1); Mandiles (1),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rejilla,7,7,0,43,"Oaxaca, Yucatán",Baquerias,"Baquerias (2); Bautizo (1); Bautizos (1); Blusas, fustanes, camisas (1); Boda (1); Gremios (1); Hetzmek (1); Hipil (1); Jarana (1); Ternos (1); Todos los eventos religiosos,y ocasiones especiales  asta en el día de la muerte (1); Vaquerias (1)",Blusas,"Blusas (3); Guayaveras (2); Blusa (1); Camisas (1); Faldas (1); Fustanes (1); Guayaberas (1); Hipiles (1); Huipil (1); Huipiles ,blusas , ternos (1); Pañal (1); Servilleta (1); Terno (1); Vestido (1)",6,0,1,1,0,1,0,0,1,0,0,4,0,1,2,1,0,3,0,0,4,0,0,0,1
Relleno,12,10,2,42,"Chiapas, Oaxaca, Puebla, Tabasco, Yucatán",Bodas,"Bodas (4); Bautizo (2); Clausuras (2); Bautizos (1); Boda (1); Bodas, bautizos y mayodormías religiosas (1); Bodas, cumpleaños, primera comunión y en eventos importantes de gala (1); Bolsas uso cotidiano (1); Camisas en fiestas de pueblo (1); Cumpleaños, bautizos y eventos importantes (1); Diademas, uso cotidiano, fiesta d pueblo (1); El uso o de la enagua es en el día a día, solo cambia su uso dependiendo del huipil y el evento (1); Eventos de Fin de Año (1); Eventos de fin de año (1); Eventos de gala (1); Eventos importantes, bodas,primera comunión, clausura de las escuelas (1); Festividades patronales (1); Graduación (1); Huipiles en fiestas del pueblo, las calendas, bodas (1); Rebozos fiestas de pueblo (1); Reuniones (1); Se usa en el día a día, ya que son las mas tradicionales y se adaptan a nuestras actividades cotidianas (1); Se usa en eventos importantes con bodas, bautizos, cumpleaños. (1); Son piezas de innovación en para el día a día (1); Son piezas de innovación para el día a día (1); XV años (1); bodas (1); festividad de pueblo (1); mayordomia (1)",Blusas,"Blusas (6); Guayaberas (4); Camisas (3); Cojines (3); Huipil (3); Monederos (3); Pantalones (3); Rebozos (3); Servilletas (3); Vestidos (3); Batas (2); Bolsas (2); Huipiles cortos (2); Rebozo (2); Almohadas (1); Camino de Mesa (1); Caminos de mesa (1); Camisas p hombre (1); Chalecos (1); Chalinas (1); Chamarras (1); Diademas (1); Enagua (1); Enaguas (1); Enaguas antiguas y recientes (1); Enahua (1); Estolas (1); Faldas (1); Fundas (1); Fundas para almohadas (1); Guayaberas y camisas (1); Huipiles , blusas (1); Huipiles Ceremoniales o de Gala (1); Huipiles cortos de uso diario (1); Huipiles largo (1); Huipiles largos (1); Manteles (1); Pañuelos (1); Reboso (1); Ropaje de bautizo (1); Sabanas (1); Servilleta (1); Top crop (1); Vestido de niña (1); Vestido de novia (1); Vestido yucatecos (1); blusa (1); falda (1); vestidos (1)",8,2,2,3,0,0,0,1,2,5,0,1,3,1,2,5,12,0,0,1,0,2,0,0,1
Renacimiento,2,2,0,47,"Campeche, Yucatán",Boda,Boda (1); Bodas (1); Vaquerías (1),Blusas,Blusas (2); Hipiles (2); Batas (1); Solapas (1),2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
Rococó,6,6,0,37,"Chiapas, Puebla",Blusa tradicional para fiestas especiales,Blusa tradicional para fiestas especiales (1); Blusas (1); Blusas tradicional (1); Capas (1); Faldas (1); Feria (1); Festividades (1); Fiestas de la comunidad (1); Mandiles (1); Vestidos (1),Blusas,Blusas (3); Aretes (1); Bata (1); Bautizo (1); Blusa (1); Bluson (1); Bolsas (1); Bolsos y carteras (1); Capas (1); Decorativos (1); En bodas (1); Fiesta patronales (1); Guayavera (1); Mañanitas (1); Moños (1); Pulseras (1); Reuniones (1); Servilletas (1); Vestidos (1); blusa (1); chal (1); fahas (1); fajaa (1); reboso (1); sueter (1); vestido (1),4,1,2,0,0,0,0,0,0,3,0,1,0,0,0,1,6,0,1,1,0,0,0,0,3
Saltillo,1,0,1,52,Tlaxcala,"En los eventos del 15 de septiembre,el folklor,la musica el sarape saltillo es un icono y un patrimonio cultural e inmaterial del municipio de contla de juan cuamatzi tlaxcala","En los eventos del 15 de septiembre,el folklor,la musica el sarape saltillo es un icono y un patrimonio cultural e inmaterial del municipio de contla de juan cuamatzi tlaxcala (1)",En el saltillo .manteles gorros etc,En el saltillo .manteles gorros etc (1),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sapo,1,1,0,30,Chiapas,En mujeres que tienen cargo en la comunidad,En mujeres que tienen cargo en la comunidad (1); Fiesta patronal de Magdalenas (1); Iglesia católica (1),Bufandas,Bufandas (1); Huipil ceremonial de Aldama (1); Huipil de uso cotidiano (1); Servilletas (1),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
Sarape fino de saltillo,1,1,0,53,Coahuila De Zaragoza,NA,NA,Camino de mesa,"Camino de mesa (1); Camisas (1); Cojíneria (1); Colaboraciones con talabartería ( bolsas ) (1); Colaboración con tenis (1); Jorongo a (1); Joyeria (aretes ,pulseras) (1); Quexquemetl (1); Sarape (1)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Sarape saltillo,1,1,0,31,Coahuila De Zaragoza,NA,NA,Jorongo / sarape,Jorongo / sarape (1); Ruanas (1),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Semilla,1,1,0,48,Oaxaca,Clausura y graduación escuela,Clausura y graduación escuela (1); Ferias Guelaguetza (1),Blusa tradicional de valle,Blusa tradicional de valle (1); Camino de mesa (1); Camisa (1); Carpeta mesa (1); Cortina (1); Funda almohada (1); Hupil corto y largo (1); Mantel (1),1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
Seri,2,2,0,44,Sonora,Bautizo,Bautizo (1); Bodas (1); Fiestas patronales (1),Almohadas,Almohadas (1); Aretes (1); Blusas (1); Camisas (1); Collares (1); Faldas (1); Muñecos (1); Pulseras (1),2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
